model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v2_ind_seed7001,50,1.0,16,7001,0.5813,0.6247,0.9154,0.7316,0.7583,0.6247,0.8827,0.9467,149.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,75,5.0,16,7005,0.6547,0.6366,0.9128,0.7883,0.7732,0.6366,0.8929,0.9685,177.1,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v2_ind_seed7009,75,5.0,16,7009,0.6317,0.597,0.8589,0.768,0.7467,0.597,0.8815,0.9591,183.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,75,5.0,32,7001,0.6443,0.6247,0.8606,0.7721,0.7586,0.6247,0.8699,0.9701,181.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,75,5.0,32,7005,0.6463,0.6471,0.9128,0.7833,0.7802,0.6471,0.9034,0.958,179.0,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7009,75,5.0,32,7009,0.6188,0.5884,0.9147,0.7632,0.7516,0.5884,0.9009,0.9612,180.7,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,75,5.0,48,7001,0.6356,0.629,0.9154,0.7769,0.7671,0.629,0.8827,0.9701,184.7,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7005,75,5.0,48,7005,0.6547,0.6218,0.9128,0.7877,0.7655,0.6218,0.9055,0.958,185.3,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v2_ind_seed7009,75,5.0,48,7009,0.6253,0.5797,0.9147,0.7711,0.7387,0.5797,0.8815,0.9547,181.1,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v2_ind_seed7001,75,5.0,64,7001,0.6312,0.6354,0.9154,0.7715,0.7727,0.6354,0.8977,0.9638,179.4,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v2_ind_seed7005,75,5.0,64,7005,0.6568,0.6176,0.9128,0.7917,0.7654,0.6176,0.9055,0.9559,184.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,75,5.0,64,7009,0.6381,0.5819,0.9147,0.7735,0.7463,0.5819,0.903,0.9634,179.2,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,75,5.0,80,7001,0.6334,0.6525,0.8753,0.7711,0.7799,0.6525,0.9019,0.9638,182.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,75,5.0,80,7005,0.6611,0.6408,0.9128,0.7929,0.7777,0.6408,0.9055,0.9643,180.2,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7009,75,5.0,80,7009,0.6124,0.6099,0.9147,0.7605,0.7653,0.6099,0.9073,0.9655,186.2,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7001,75,5.0,96,7001,0.6594,0.6716,0.8508,0.7803,0.7881,0.6716,0.8934,0.9616,183.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,75,5.0,96,7005,0.6442,0.6345,0.9128,0.7807,0.7729,0.6345,0.8992,0.9643,181.0,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v2_ind_seed7009,75,5.0,96,7009,0.6296,0.5711,0.9147,0.7709,0.7387,0.5711,0.8944,0.9677,182.7,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7001,75,10.0,16,7001,0.6312,0.6141,0.9154,0.7717,0.7608,0.6141,0.8934,0.9616,178.7,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v2_ind_seed7005,75,10.0,16,7005,0.6674,0.6218,0.9128,0.7946,0.7667,0.6218,0.895,0.9601,178.0,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v2_ind_seed7009,75,10.0,16,7009,0.6146,0.5948,0.914,0.7641,0.7534,0.5948,0.8944,0.9698,182.3,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v2_ind_seed7001,75,10.0,32,7001,0.6356,0.6375,0.9154,0.7786,0.7789,0.6375,0.9062,0.9787,177.6,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v2_ind_seed7005,75,10.0,32,7005,0.6547,0.6429,0.9123,0.7909,0.7824,0.6429,0.916,0.9685,177.2,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7009,75,10.0,32,7009,0.636,0.6056,0.9147,0.776,0.7596,0.6056,0.9073,0.9591,181.5,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v2_ind_seed7001,75,10.0,48,7001,0.6421,0.6333,0.9154,0.7811,0.771,0.6333,0.8913,0.968,185.7,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v2_ind_seed7005,75,10.0,48,7005,0.6674,0.6408,0.9126,0.7953,0.7782,0.6408,0.9118,0.9643,183.9,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v2_ind_seed7009,75,10.0,48,7009,0.6253,0.5905,0.9147,0.7721,0.7524,0.5905,0.8987,0.9677,184.1,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v2_ind_seed7001,75,10.0,64,7001,0.6312,0.6333,0.9133,0.7744,0.7736,0.6333,0.9041,0.9744,183.0,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,75,10.0,64,7005,0.6632,0.6387,0.9126,0.7955,0.7798,0.6387,0.9055,0.9685,178.4,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7009,75,10.0,64,7009,0.636,0.597,0.9147,0.7734,0.7544,0.597,0.8966,0.9612,181.4,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v2_ind_seed7001,75,10.0,80,7001,0.6334,0.6311,0.9154,0.7762,0.7766,0.6311,0.9062,0.9765,184.0,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v2_ind_seed7005,75,10.0,80,7005,0.6653,0.6492,0.9128,0.7969,0.7826,0.6492,0.9013,0.9685,183.3,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v2_ind_seed7009,75,10.0,80,7009,0.6296,0.5927,0.9144,0.7741,0.753,0.5927,0.903,0.9655,185.9,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v2_ind_seed7001,75,10.0,96,7001,0.6508,0.6503,0.8993,0.7829,0.782,0.6503,0.9041,0.9659,182.9,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,75,10.0,96,7005,0.6611,0.6345,0.9128,0.7971,0.7751,0.6345,0.9034,0.9685,178.7,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7009,75,10.0,96,7009,0.6424,0.6121,0.9147,0.7776,0.7641,0.6121,0.9009,0.9655,182.8,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,75,50.0,16,7001,0.6659,0.6695,0.8703,0.7964,0.795,0.6695,0.9083,0.9765,184.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,75,50.0,16,7005,0.7011,0.6681,0.8575,0.8175,0.7981,0.6681,0.9097,0.9748,183.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7009,75,50.0,16,7009,0.666,0.6487,0.889,0.7957,0.7865,0.6487,0.9095,0.9698,181.0,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v2_ind_seed7001,75,50.0,32,7001,0.6833,0.6652,0.8777,0.806,0.796,0.6652,0.9211,0.9744,182.7,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,75,50.0,32,7005,0.6926,0.6828,0.8512,0.8111,0.8103,0.6828,0.9265,0.9853,181.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7009,75,50.0,32,7009,0.6617,0.6444,0.8414,0.7919,0.7843,0.6444,0.9138,0.9698,185.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,75,50.0,48,7001,0.6833,0.6738,0.8443,0.8037,0.8003,0.6738,0.9083,0.9851,184.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,75,50.0,48,7005,0.6968,0.6807,0.8686,0.817,0.8037,0.6807,0.9118,0.9727,181.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7009,75,50.0,48,7009,0.6467,0.653,0.8789,0.7894,0.7877,0.653,0.9138,0.9655,179.5,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7001,75,50.0,64,7001,0.6811,0.6738,0.8407,0.801,0.7971,0.6738,0.9041,0.9829,180.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,75,50.0,64,7005,0.6968,0.666,0.8928,0.8166,0.7979,0.666,0.9244,0.9685,181.9,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v2_ind_seed7009,75,50.0,64,7009,0.6467,0.6379,0.8976,0.7877,0.7795,0.6379,0.9052,0.972,179.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7001,75,50.0,80,7001,0.6746,0.6546,0.8936,0.8032,0.7913,0.6546,0.9318,0.9829,184.9,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v2_ind_seed7005,75,50.0,80,7005,0.6968,0.6702,0.887,0.8157,0.8013,0.6702,0.9118,0.9811,182.5,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7009,75,50.0,80,7009,0.6552,0.6422,0.901,0.7904,0.784,0.6422,0.9159,0.972,184.7,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v2_ind_seed7001,75,50.0,96,7001,0.6681,0.6588,0.8996,0.8005,0.7934,0.6588,0.9168,0.9787,184.0,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v2_ind_seed7005,75,50.0,96,7005,0.7011,0.6891,0.8469,0.8145,0.8101,0.6891,0.9202,0.9748,180.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7009,75,50.0,96,7009,0.6574,0.6358,0.9027,0.7914,0.7786,0.6358,0.9073,0.972,184.9,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v2_ind_seed7001,75,100.0,16,7001,0.6941,0.6866,0.8063,0.8089,0.8038,0.6866,0.9083,0.9701,183.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,75,100.0,16,7005,0.7116,0.6723,0.8109,0.824,0.7993,0.6723,0.916,0.9727,181.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7009,75,100.0,16,7009,0.6724,0.6659,0.8363,0.801,0.7915,0.6659,0.9009,0.9655,180.1,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v2_ind_seed7001,75,100.0,32,7001,0.7028,0.6823,0.8429,0.8149,0.8058,0.6823,0.9211,0.9765,178.0,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,75,100.0,32,7005,0.7095,0.6807,0.8433,0.8223,0.8049,0.6807,0.9181,0.9727,181.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,75,100.0,32,7009,0.6724,0.6703,0.8474,0.8001,0.797,0.6703,0.9095,0.9698,182.9,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7001,75,100.0,48,7001,0.6963,0.6738,0.8167,0.8103,0.8013,0.6738,0.9126,0.9808,184.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,75,100.0,48,7005,0.7074,0.666,0.8464,0.8212,0.7998,0.666,0.9265,0.9685,182.0,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v2_ind_seed7009,75,100.0,48,7009,0.666,0.6616,0.8534,0.7999,0.7922,0.6616,0.9138,0.9741,184.0,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,75,100.0,64,7001,0.692,0.6994,0.8546,0.8106,0.8148,0.6994,0.9254,0.9808,180.2,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7005,75,100.0,64,7005,0.7116,0.6807,0.8537,0.8239,0.8057,0.6807,0.9202,0.9748,181.7,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v2_ind_seed7009,75,100.0,64,7009,0.6809,0.6746,0.8267,0.8054,0.7986,0.6746,0.9095,0.972,184.0,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,75,100.0,80,7001,0.6898,0.6823,0.8558,0.8108,0.8054,0.6823,0.9211,0.9808,181.6,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7005,75,100.0,80,7005,0.7116,0.687,0.8595,0.8221,0.8084,0.687,0.9202,0.9748,181.4,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v2_ind_seed7009,75,100.0,80,7009,0.6724,0.6767,0.8498,0.8027,0.8015,0.6767,0.9181,0.9784,182.1,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v2_ind_seed7001,75,100.0,96,7001,0.6941,0.6738,0.8597,0.8129,0.802,0.6738,0.919,0.9808,177.2,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7005,75,100.0,96,7005,0.7137,0.6828,0.8556,0.826,0.8083,0.6828,0.9202,0.979,176.1,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v2_ind_seed7009,75,100.0,96,7009,0.6831,0.6681,0.8368,0.8049,0.7981,0.6681,0.9181,0.9763,181.4,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7001,75,500.0,16,7001,0.6226,0.6098,0.6329,0.7422,0.735,0.6098,0.8337,0.9296,99.5,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v2_ind_seed7005,75,500.0,16,7005,0.6295,0.6387,0.6286,0.7463,0.7623,0.6387,0.8718,0.9349,94.7,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v2_ind_seed7009,75,500.0,16,7009,0.6231,0.5927,0.639,0.7453,0.7227,0.5927,0.8254,0.9289,92.2,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v2_ind_seed7001,75,500.0,32,7001,0.6377,0.6354,0.6617,0.7641,0.7571,0.6354,0.8529,0.9403,109.0,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v2_ind_seed7005,75,500.0,32,7005,0.6442,0.6471,0.6576,0.7639,0.7706,0.6471,0.8718,0.9559,108.3,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7009,75,500.0,32,7009,0.6552,0.5991,0.6631,0.7688,0.7369,0.5991,0.8534,0.944,108.8,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v2_ind_seed7001,75,500.0,48,7001,0.6421,0.6439,0.6819,0.7695,0.7626,0.6439,0.855,0.9531,119.3,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v2_ind_seed7005,75,500.0,48,7005,0.6484,0.6513,0.6764,0.7745,0.7786,0.6513,0.8908,0.9559,120.5,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v2_ind_seed7009,75,500.0,48,7009,0.6574,0.6142,0.683,0.7744,0.7493,0.6142,0.8642,0.9526,120.1,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,75,500.0,64,7001,0.6594,0.6461,0.6927,0.781,0.7663,0.6461,0.8571,0.9531,130.7,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v2_ind_seed7005,75,500.0,64,7005,0.6589,0.6639,0.6875,0.7801,0.7878,0.6639,0.9034,0.9601,129.6,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v2_ind_seed7009,75,500.0,64,7009,0.6681,0.6358,0.6948,0.7828,0.7629,0.6358,0.8685,0.9569,127.3,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v2_ind_seed7001,75,500.0,80,7001,0.6616,0.6588,0.6982,0.7835,0.774,0.6588,0.8657,0.9574,151.8,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v2_ind_seed7005,75,500.0,80,7005,0.6716,0.6618,0.6977,0.7894,0.7864,0.6618,0.9013,0.9622,150.6,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7009,75,500.0,80,7009,0.6681,0.6336,0.7056,0.7836,0.7613,0.6336,0.8664,0.9591,152.8,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7001,75,500.0,96,7001,0.6703,0.6674,0.7081,0.7893,0.7792,0.6674,0.8657,0.9616,152.3,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v2_ind_seed7005,75,500.0,96,7005,0.6716,0.666,0.7001,0.7911,0.7905,0.666,0.9013,0.9622,160.4,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v2_ind_seed7009,75,500.0,96,7009,0.6681,0.6315,0.7075,0.7847,0.7638,0.6315,0.8728,0.9547,156.2,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,75,1000.0,16,7001,0.5033,0.5117,0.501,0.6384,0.645,0.5117,0.742,0.8507,86.4,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v2_ind_seed7005,75,1000.0,16,7005,0.5116,0.5378,0.5305,0.642,0.6672,0.5378,0.7542,0.8908,86.9,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v2_ind_seed7009,75,1000.0,16,7009,0.5225,0.4935,0.5102,0.6477,0.6249,0.4935,0.7134,0.8534,85.9,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v2_ind_seed7001,75,1000.0,32,7001,0.5553,0.5693,0.569,0.6886,0.6925,0.5693,0.7846,0.8998,89.6,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v2_ind_seed7005,75,1000.0,32,7005,0.56,0.5546,0.5697,0.6886,0.6952,0.5546,0.8025,0.9097,88.9,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v2_ind_seed7009,75,1000.0,32,7009,0.5632,0.5237,0.5525,0.6887,0.6608,0.5237,0.7586,0.875,88.7,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,75,1000.0,48,7001,0.564,0.5736,0.581,0.7005,0.7014,0.5736,0.7932,0.9147,91.2,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7005,75,1000.0,48,7005,0.5642,0.5756,0.582,0.696,0.7146,0.5756,0.8361,0.9181,89.8,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v2_ind_seed7009,75,1000.0,48,7009,0.591,0.5496,0.585,0.7099,0.6836,0.5496,0.7823,0.9116,90.2,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v2_ind_seed7001,75,1000.0,64,7001,0.5835,0.5906,0.5949,0.7119,0.7119,0.5906,0.8017,0.9104,95.1,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v2_ind_seed7005,75,1000.0,64,7005,0.5853,0.584,0.5936,0.7129,0.7206,0.584,0.8403,0.9181,96.2,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7009,75,1000.0,64,7009,0.5824,0.5625,0.5946,0.7088,0.6942,0.5625,0.7802,0.9159,95.9,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7001,75,1000.0,80,7001,0.5922,0.597,0.6064,0.7185,0.7169,0.597,0.8038,0.9211,119.6,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v2_ind_seed7005,75,1000.0,80,7005,0.5832,0.6008,0.6057,0.7138,0.7349,0.6008,0.8445,0.9244,117.7,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v2_ind_seed7009,75,1000.0,80,7009,0.6188,0.5776,0.6133,0.7348,0.7068,0.5776,0.7953,0.9246,115.8,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v2_ind_seed7001,75,1000.0,96,7001,0.6052,0.6055,0.6173,0.7305,0.7269,0.6055,0.8166,0.9232,121.2,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v2_ind_seed7005,75,1000.0,96,7005,0.6,0.6303,0.6182,0.7289,0.754,0.6303,0.8529,0.9307,119.6,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7009,75,1000.0,96,7009,0.5996,0.5797,0.6176,0.7259,0.7087,0.5797,0.7974,0.9267,120.5,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7001,100,1.0,16,7001,0.6074,0.6077,0.9154,0.7516,0.7548,0.6077,0.8891,0.9701,231.4,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,100,1.0,16,7005,0.6253,0.6218,0.9128,0.7668,0.7625,0.6218,0.8887,0.9601,222.9,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v2_ind_seed7009,100,1.0,16,7009,0.6167,0.5905,0.9147,0.7584,0.7453,0.5905,0.8966,0.9504,222.1,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v2_ind_seed7001,100,1.0,32,7001,0.6182,0.6269,0.9154,0.7595,0.7669,0.6269,0.887,0.9701,228.6,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7005,100,1.0,32,7005,0.6526,0.6197,0.9128,0.7851,0.7632,0.6197,0.8992,0.9601,225.6,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v2_ind_seed7009,100,1.0,32,7009,0.6017,0.597,0.9147,0.75,0.7499,0.597,0.8879,0.9612,223.3,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v2_ind_seed7001,100,1.0,48,7001,0.6226,0.6311,0.9154,0.7657,0.7663,0.6311,0.8827,0.9744,231.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,100,1.0,48,7005,0.6421,0.6366,0.9128,0.7798,0.7656,0.6366,0.8824,0.9475,229.6,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v2_ind_seed7009,100,1.0,48,7009,0.5931,0.5862,0.9147,0.7453,0.742,0.5862,0.8858,0.9504,228.3,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v2_ind_seed7001,100,1.0,64,7001,0.6399,0.6311,0.8402,0.7726,0.7679,0.6311,0.8849,0.9659,228.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,100,1.0,64,7005,0.6442,0.6261,0.9128,0.778,0.767,0.6261,0.8971,0.9664,226.6,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7009,100,1.0,64,7009,0.6081,0.5754,0.9147,0.7505,0.7347,0.5754,0.8707,0.9634,226.8,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7001,100,1.0,80,7001,0.6464,0.6418,0.8895,0.7778,0.7736,0.6418,0.887,0.9638,230.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,100,1.0,80,7005,0.6358,0.6513,0.8696,0.7701,0.7823,0.6513,0.8992,0.9622,230.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7009,100,1.0,80,7009,0.6039,0.5991,0.9147,0.7479,0.7497,0.5991,0.8858,0.9698,231.1,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7001,100,1.0,96,7001,0.6247,0.6354,0.8892,0.767,0.7716,0.6354,0.8891,0.9595,234.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,100,1.0,96,7005,0.64,0.6218,0.9128,0.7766,0.765,0.6218,0.9013,0.958,235.2,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v2_ind_seed7009,100,1.0,96,7009,0.6124,0.6056,0.8921,0.7555,0.7515,0.6056,0.8815,0.9526,230.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,100,5.0,16,7001,0.6226,0.6247,0.9154,0.7668,0.7653,0.6247,0.8998,0.9616,232.3,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v2_ind_seed7005,100,5.0,16,7005,0.6526,0.645,0.857,0.7797,0.7752,0.645,0.8908,0.9664,222.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7009,100,5.0,16,7009,0.6124,0.5927,0.9147,0.764,0.7529,0.5927,0.8987,0.9634,224.8,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7001,100,5.0,32,7001,0.6312,0.6333,0.9154,0.7703,0.7746,0.6333,0.9083,0.9723,229.5,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v2_ind_seed7005,100,5.0,32,7005,0.6632,0.6239,0.9128,0.7909,0.7698,0.6239,0.8971,0.9643,226.9,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7009,100,5.0,32,7009,0.6081,0.5884,0.9147,0.7632,0.7486,0.5884,0.8987,0.9569,228.5,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7001,100,5.0,48,7001,0.6312,0.6311,0.9154,0.7759,0.7713,0.6311,0.8955,0.968,231.3,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v2_ind_seed7005,100,5.0,48,7005,0.6568,0.6429,0.9128,0.7887,0.7738,0.6429,0.8929,0.9643,233.5,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v2_ind_seed7009,100,5.0,48,7009,0.636,0.5884,0.9147,0.7737,0.7499,0.5884,0.9009,0.9547,230.9,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v2_ind_seed7001,100,5.0,64,7001,0.6421,0.6311,0.9154,0.7804,0.7748,0.6311,0.9019,0.9765,231.5,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7005,100,5.0,64,7005,0.6547,0.6408,0.9128,0.7906,0.7784,0.6408,0.9013,0.9643,233.9,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7009,100,5.0,64,7009,0.6231,0.6013,0.9147,0.7666,0.7569,0.6013,0.903,0.9634,229.5,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7001,100,5.0,80,7001,0.6269,0.6354,0.9154,0.7709,0.7755,0.6354,0.9083,0.9723,229.3,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7005,100,5.0,80,7005,0.6379,0.6429,0.9128,0.7789,0.7775,0.6429,0.9013,0.9748,235.3,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,100,5.0,80,7009,0.621,0.6056,0.9147,0.7664,0.7621,0.6056,0.903,0.9677,232.4,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v2_ind_seed7001,100,5.0,96,7001,0.6334,0.6375,0.9154,0.7793,0.7765,0.6375,0.8955,0.9787,233.8,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v2_ind_seed7005,100,5.0,96,7005,0.6505,0.6429,0.9128,0.7862,0.779,0.6429,0.9076,0.9643,234.5,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v2_ind_seed7009,100,5.0,96,7009,0.6253,0.6185,0.8991,0.7673,0.7579,0.6185,0.8836,0.9504,230.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,100,10.0,16,7001,0.6291,0.6247,0.9154,0.7714,0.7683,0.6247,0.9041,0.9638,230.8,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v2_ind_seed7005,100,10.0,16,7005,0.6442,0.6303,0.9119,0.7846,0.7727,0.6303,0.9034,0.9685,222.8,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v2_ind_seed7009,100,10.0,16,7009,0.6188,0.6142,0.9132,0.7699,0.7622,0.6142,0.8944,0.9634,226.2,Reach max iteration 50 | best_iter=6
