model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v3_ind_seed7001,50,1.0,16,7001,0.6821,0.6407,0.8646,0.7904,0.7607,0.6407,0.8684,0.9485,253.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,5.0,16,7005,0.685,0.6353,0.9294,0.7946,0.7665,0.6353,0.883,0.9587,317.9,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v3_ind_seed7009,75,5.0,16,7009,0.6736,0.6924,0.9272,0.7892,0.8025,0.6924,0.8986,0.9724,317.0,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v3_ind_seed7001,75,5.0,32,7001,0.6821,0.6579,0.9309,0.7973,0.7823,0.6579,0.8947,0.9691,314.0,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v3_ind_seed7005,75,5.0,32,7005,0.6804,0.664,0.9067,0.7962,0.7769,0.664,0.8773,0.945,319.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,5.0,32,7009,0.6839,0.682,0.9055,0.7975,0.796,0.682,0.8963,0.9654,318.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,5.0,48,7001,0.6775,0.651,0.9309,0.7929,0.775,0.651,0.8902,0.96,309.8,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7005,75,5.0,48,7005,0.6575,0.656,0.9294,0.7815,0.7784,0.656,0.8911,0.9587,316.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7009,75,5.0,48,7009,0.6862,0.6912,0.9272,0.8018,0.8024,0.6912,0.909,0.97,317.2,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v3_ind_seed7001,75,5.0,64,7001,0.6948,0.6648,0.9074,0.8042,0.7876,0.6648,0.9039,0.9691,311.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7005,75,5.0,64,7005,0.6655,0.6743,0.9033,0.7853,0.7825,0.6743,0.875,0.9495,321.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,5.0,64,7009,0.7011,0.6959,0.8731,0.8045,0.8079,0.6959,0.9055,0.977,311.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,75,5.0,80,7001,0.6775,0.651,0.9309,0.7937,0.7765,0.651,0.8924,0.9622,317.0,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7005,75,5.0,80,7005,0.6724,0.6674,0.8995,0.7928,0.7846,0.6674,0.8876,0.9622,317.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,75,5.0,80,7009,0.7069,0.7039,0.8739,0.8072,0.8074,0.7039,0.8986,0.962,314.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,5.0,96,7001,0.704,0.6762,0.8377,0.807,0.7875,0.6762,0.8822,0.9645,312.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,5.0,96,7005,0.6861,0.656,0.9294,0.8002,0.7784,0.656,0.8807,0.961,316.7,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7009,75,5.0,96,7009,0.6747,0.6935,0.8834,0.7906,0.8033,0.6935,0.9021,0.9712,313.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,10.0,16,7001,0.689,0.6522,0.9309,0.8047,0.7772,0.6522,0.8936,0.9668,318.0,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v3_ind_seed7005,75,10.0,16,7005,0.6735,0.6468,0.929,0.7907,0.7748,0.6468,0.8876,0.9599,322.3,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7009,75,10.0,16,7009,0.6701,0.6889,0.9272,0.7919,0.8018,0.6889,0.9044,0.9747,317.2,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v3_ind_seed7001,75,10.0,32,7001,0.6786,0.667,0.9309,0.7968,0.7884,0.667,0.9062,0.9657,317.7,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v3_ind_seed7005,75,10.0,32,7005,0.6873,0.6571,0.9103,0.8004,0.7773,0.6571,0.8819,0.9541,319.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,10.0,32,7009,0.6931,0.712,0.8905,0.8016,0.8113,0.712,0.8975,0.962,319.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,10.0,48,7001,0.6913,0.6751,0.8477,0.7984,0.7835,0.6751,0.8822,0.9577,315.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,10.0,48,7005,0.6758,0.6502,0.9077,0.7899,0.7747,0.6502,0.8865,0.9599,318.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,10.0,48,7009,0.7103,0.7108,0.8432,0.8136,0.8143,0.7108,0.9078,0.9781,315.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,10.0,64,7001,0.6936,0.6773,0.9065,0.8048,0.7936,0.6773,0.8982,0.968,314.8,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7005,75,10.0,64,7005,0.6655,0.6617,0.9291,0.7891,0.7842,0.6617,0.8979,0.961,322.1,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7009,75,10.0,64,7009,0.6897,0.6889,0.9249,0.8014,0.8028,0.6889,0.9067,0.9816,306.2,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v3_ind_seed7001,75,10.0,80,7001,0.6879,0.6636,0.9309,0.8034,0.786,0.6636,0.9039,0.9668,317.4,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7005,75,10.0,80,7005,0.6942,0.6697,0.8839,0.8006,0.7854,0.6697,0.8842,0.9622,316.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,10.0,80,7009,0.7092,0.7074,0.8692,0.8103,0.81,0.7074,0.9021,0.9666,318.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,10.0,96,7001,0.7006,0.6831,0.8358,0.8048,0.7935,0.6831,0.8867,0.9657,311.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,10.0,96,7005,0.6793,0.6606,0.929,0.8003,0.7856,0.6606,0.8933,0.9599,312.5,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v3_ind_seed7009,75,10.0,96,7009,0.6759,0.6912,0.9272,0.7957,0.806,0.6912,0.9147,0.9712,314.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7001,75,50.0,16,7001,0.7249,0.6899,0.8783,0.8278,0.8074,0.6899,0.913,0.9771,318.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,75,50.0,16,7005,0.7068,0.695,0.8927,0.815,0.8036,0.695,0.8933,0.9713,316.1,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7009,75,50.0,16,7009,0.708,0.7247,0.8574,0.8125,0.8248,0.7247,0.9159,0.9816,316.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,75,50.0,32,7001,0.726,0.7151,0.8524,0.8251,0.816,0.7151,0.8993,0.9737,318.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,50.0,32,7005,0.6987,0.6927,0.9133,0.8128,0.8064,0.6927,0.9151,0.9725,320.2,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v3_ind_seed7009,75,50.0,32,7009,0.7172,0.7143,0.8873,0.8192,0.8225,0.7143,0.9228,0.9793,316.4,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7001,75,50.0,48,7001,0.7306,0.7071,0.8482,0.8287,0.8138,0.7071,0.9142,0.9748,318.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,50.0,48,7005,0.7033,0.6972,0.8726,0.8116,0.8058,0.6972,0.8991,0.9725,316.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,75,50.0,48,7009,0.708,0.7143,0.8375,0.8136,0.8222,0.7143,0.9286,0.9816,317.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,50.0,64,7001,0.7156,0.6899,0.917,0.8239,0.8066,0.6899,0.9165,0.9794,316.5,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v3_ind_seed7005,75,50.0,64,7005,0.701,0.6972,0.8837,0.811,0.8073,0.6972,0.9083,0.969,321.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,75,50.0,64,7009,0.7161,0.7074,0.8812,0.8189,0.8193,0.7074,0.9171,0.9827,319.4,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7001,75,50.0,80,7001,0.7179,0.6957,0.8598,0.8241,0.8088,0.6957,0.9096,0.976,323.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,50.0,80,7005,0.701,0.6881,0.9075,0.8144,0.8041,0.6881,0.9071,0.9702,318.3,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v3_ind_seed7009,75,50.0,80,7009,0.7195,0.7131,0.8446,0.8192,0.8187,0.7131,0.9182,0.9793,321.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,50.0,96,7001,0.7133,0.6854,0.8936,0.821,0.8029,0.6854,0.9176,0.9737,313.7,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7005,75,50.0,96,7005,0.6987,0.695,0.9111,0.8128,0.808,0.695,0.9083,0.9713,320.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v3_ind_seed7009,75,50.0,96,7009,0.7092,0.7097,0.8815,0.8133,0.8183,0.7097,0.9147,0.9816,320.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,75,100.0,16,7001,0.7318,0.6979,0.8446,0.8331,0.8121,0.6979,0.9211,0.9828,317.2,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7005,75,100.0,16,7005,0.7113,0.7167,0.8416,0.8171,0.8175,0.7167,0.9014,0.9667,316.9,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7009,75,100.0,16,7009,0.7241,0.7224,0.8609,0.8245,0.824,0.7224,0.9159,0.9793,317.8,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v3_ind_seed7001,75,100.0,32,7001,0.7364,0.6979,0.8659,0.8363,0.8138,0.6979,0.9245,0.9828,316.0,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v3_ind_seed7005,75,100.0,32,7005,0.7274,0.7271,0.8454,0.8279,0.8245,0.7271,0.9094,0.9736,317.7,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7009,75,100.0,32,7009,0.7299,0.7339,0.8485,0.8285,0.8342,0.7339,0.9263,0.985,316.7,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7001,75,100.0,48,7001,0.7306,0.7037,0.866,0.832,0.8154,0.7037,0.9222,0.9828,318.1,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v3_ind_seed7005,75,100.0,48,7005,0.7274,0.7156,0.8715,0.8303,0.8194,0.7156,0.914,0.9713,320.0,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v3_ind_seed7009,75,100.0,48,7009,0.7241,0.7293,0.8632,0.8259,0.8329,0.7293,0.9286,0.9839,318.4,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v3_ind_seed7001,75,100.0,64,7001,0.7341,0.7014,0.8581,0.834,0.8152,0.7014,0.9256,0.9851,312.0,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v3_ind_seed7005,75,100.0,64,7005,0.7194,0.711,0.8745,0.8268,0.8174,0.711,0.9106,0.9725,319.7,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v3_ind_seed7009,75,100.0,64,7009,0.7287,0.7177,0.8663,0.8308,0.8251,0.7177,0.9263,0.9827,314.1,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v3_ind_seed7001,75,100.0,80,7001,0.7376,0.7117,0.8687,0.8376,0.8209,0.7117,0.9302,0.9828,322.1,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v3_ind_seed7005,75,100.0,80,7005,0.7239,0.7007,0.8778,0.8264,0.8113,0.7007,0.9094,0.9748,319.8,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v3_ind_seed7009,75,100.0,80,7009,0.7345,0.727,0.8363,0.8315,0.8286,0.727,0.9194,0.9827,320.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,75,100.0,96,7001,0.7353,0.6968,0.8794,0.8359,0.8116,0.6968,0.9211,0.9805,322.1,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v3_ind_seed7005,75,100.0,96,7005,0.7205,0.7053,0.8774,0.8252,0.814,0.7053,0.9106,0.9771,318.0,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v3_ind_seed7009,75,100.0,96,7009,0.7264,0.7293,0.8627,0.8265,0.8304,0.7293,0.9251,0.985,319.8,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7001,75,500.0,16,7001,0.7052,0.6705,0.7114,0.8044,0.7768,0.6705,0.8661,0.9474,202.9,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v3_ind_seed7005,75,500.0,16,7005,0.677,0.7007,0.7186,0.7839,0.7941,0.7007,0.8681,0.9518,205.4,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v3_ind_seed7009,75,500.0,16,7009,0.692,0.6751,0.7186,0.792,0.7813,0.6751,0.8629,0.9597,208.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v3_ind_seed7001,75,500.0,32,7001,0.7145,0.6773,0.7293,0.8135,0.7866,0.6773,0.8787,0.9531,223.5,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v3_ind_seed7005,75,500.0,32,7005,0.6896,0.7099,0.7293,0.7906,0.8039,0.7099,0.8773,0.953,231.6,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v3_ind_seed7009,75,500.0,32,7009,0.6954,0.6935,0.7365,0.7968,0.7962,0.6935,0.8767,0.962,234.0,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v3_ind_seed7001,75,500.0,48,7001,0.7249,0.6876,0.7417,0.8202,0.7949,0.6876,0.8799,0.9645,278.8,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v3_ind_seed7005,75,500.0,48,7005,0.6976,0.7064,0.7434,0.7993,0.8063,0.7064,0.8876,0.9576,260.3,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v3_ind_seed7009,75,500.0,48,7009,0.7103,0.7016,0.7452,0.807,0.8038,0.7016,0.8929,0.9654,264.5,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v3_ind_seed7001,75,500.0,64,7001,0.7295,0.6888,0.7518,0.8234,0.7983,0.6888,0.8879,0.9668,291.7,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v3_ind_seed7005,75,500.0,64,7005,0.6964,0.719,0.7509,0.8016,0.8136,0.719,0.8956,0.961,289.7,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v3_ind_seed7009,75,500.0,64,7009,0.7138,0.7028,0.7481,0.8091,0.8053,0.7028,0.8894,0.962,296.1,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v3_ind_seed7001,75,500.0,80,7001,0.7283,0.6934,0.756,0.8231,0.8015,0.6934,0.8856,0.9714,318.3,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v3_ind_seed7005,75,500.0,80,7005,0.7056,0.719,0.7545,0.8062,0.8108,0.719,0.8888,0.961,317.8,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v3_ind_seed7009,75,500.0,80,7009,0.7115,0.7016,0.7558,0.8104,0.8061,0.7016,0.8975,0.9689,318.4,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v3_ind_seed7001,75,500.0,96,7001,0.7272,0.6991,0.7607,0.8258,0.8053,0.6991,0.8947,0.9737,318.5,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v3_ind_seed7005,75,500.0,96,7005,0.7079,0.7305,0.757,0.8102,0.8204,0.7305,0.8945,0.9622,317.1,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v3_ind_seed7009,75,500.0,96,7009,0.7149,0.7097,0.764,0.8129,0.8111,0.7097,0.9009,0.97,319.1,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v3_ind_seed7001,75,1000.0,16,7001,0.6474,0.6133,0.6468,0.7519,0.7232,0.6133,0.7929,0.9119,158.3,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v3_ind_seed7005,75,1000.0,16,7005,0.6117,0.6261,0.632,0.7245,0.7298,0.6261,0.7982,0.9094,154.5,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v3_ind_seed7009,75,1000.0,16,7009,0.6299,0.6359,0.6514,0.7366,0.7403,0.6359,0.8168,0.9113,155.7,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v3_ind_seed7001,75,1000.0,32,7001,0.6728,0.6384,0.6741,0.776,0.7461,0.6384,0.8215,0.9291,181.7,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v3_ind_seed7005,75,1000.0,32,7005,0.6323,0.6628,0.6691,0.7464,0.7577,0.6628,0.8222,0.9163,180.7,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v3_ind_seed7009,75,1000.0,32,7009,0.6517,0.6486,0.6691,0.7563,0.7574,0.6486,0.8433,0.9274,183.5,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v3_ind_seed7001,75,1000.0,48,7001,0.6855,0.6556,0.6876,0.7867,0.7619,0.6556,0.8432,0.9348,207.3,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v3_ind_seed7005,75,1000.0,48,7005,0.6483,0.6709,0.6843,0.7591,0.7693,0.6709,0.8429,0.9335,204.4,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v3_ind_seed7009,75,1000.0,48,7009,0.6632,0.6659,0.6858,0.7679,0.7695,0.6659,0.8502,0.9366,205.7,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v3_ind_seed7001,75,1000.0,64,7001,0.6786,0.6545,0.6895,0.7845,0.7645,0.6545,0.8467,0.9359,228.5,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v3_ind_seed7005,75,1000.0,64,7005,0.669,0.6778,0.6962,0.7709,0.7749,0.6778,0.8509,0.9369,224.6,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v3_ind_seed7009,75,1000.0,64,7009,0.6724,0.6774,0.6924,0.7731,0.7772,0.6774,0.8583,0.9435,223.6,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7001,75,1000.0,80,7001,0.6936,0.6682,0.6995,0.7948,0.7751,0.6682,0.857,0.9416,236.7,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v3_ind_seed7005,75,1000.0,80,7005,0.6609,0.68,0.6967,0.7697,0.7787,0.68,0.8578,0.9404,233.9,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v3_ind_seed7009,75,1000.0,80,7009,0.6839,0.6751,0.7025,0.7818,0.7788,0.6751,0.8618,0.9459,235.8,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v3_ind_seed7001,75,1000.0,96,7001,0.6948,0.6613,0.6959,0.7961,0.7705,0.6613,0.8593,0.9416,267.3,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v3_ind_seed7005,75,1000.0,96,7005,0.6781,0.6812,0.7041,0.7808,0.7803,0.6812,0.8601,0.9461,254.2,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v3_ind_seed7009,75,1000.0,96,7009,0.6782,0.674,0.7044,0.7811,0.7798,0.674,0.8652,0.9482,261.3,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v3_ind_seed7001,100,1.0,16,7001,0.6798,0.6682,0.8974,0.7941,0.7834,0.6682,0.8856,0.9622,391.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,100,1.0,16,7005,0.6621,0.6422,0.9294,0.7813,0.7657,0.6422,0.8761,0.9507,399.7,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7009,100,1.0,16,7009,0.6736,0.682,0.9272,0.7878,0.7914,0.682,0.8882,0.9654,395.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7001,100,1.0,32,7001,0.6705,0.6362,0.9309,0.7876,0.7629,0.6362,0.8822,0.9519,396.9,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7005,100,1.0,32,7005,0.6632,0.6525,0.9294,0.7769,0.7707,0.6525,0.8761,0.9507,405.6,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v3_ind_seed7009,100,1.0,32,7009,0.677,0.6843,0.9146,0.7899,0.7938,0.6843,0.8963,0.9597,399.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,100,1.0,48,7001,0.6751,0.6556,0.8942,0.7916,0.7764,0.6556,0.8867,0.9565,397.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,100,1.0,48,7005,0.6712,0.6227,0.9223,0.7857,0.7508,0.6227,0.8635,0.9484,404.3,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7009,100,1.0,48,7009,0.677,0.6855,0.9158,0.7895,0.7977,0.6855,0.8952,0.9666,401.0,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,100,1.0,64,7001,0.7121,0.6693,0.8681,0.8113,0.7844,0.6693,0.8902,0.9577,396.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,100,1.0,64,7005,0.6621,0.656,0.9084,0.7778,0.7715,0.656,0.8739,0.9461,402.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,100,1.0,64,7009,0.6954,0.6728,0.8212,0.7927,0.7842,0.6728,0.8744,0.9585,403.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,100,1.0,80,7001,0.6879,0.6636,0.8098,0.7935,0.7751,0.6636,0.8753,0.9462,402.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,100,1.0,80,7005,0.6701,0.6571,0.9154,0.7886,0.7777,0.6571,0.8899,0.9553,398.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,100,1.0,80,7009,0.6954,0.6959,0.907,0.8042,0.8083,0.6959,0.9136,0.9724,411.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,100,1.0,96,7001,0.696,0.6499,0.8785,0.8022,0.7724,0.6499,0.8753,0.9622,403.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,100,1.0,96,7005,0.6838,0.6755,0.8796,0.7959,0.7907,0.6755,0.8922,0.969,396.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,100,1.0,96,7009,0.677,0.6912,0.9088,0.7901,0.8027,0.6912,0.9021,0.97,404.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,100,5.0,16,7001,0.6925,0.651,0.9309,0.8027,0.7758,0.651,0.8947,0.9645,395.8,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v3_ind_seed7005,100,5.0,16,7005,0.6758,0.6571,0.9294,0.792,0.7777,0.6571,0.8819,0.9587,392.8,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v3_ind_seed7009,100,5.0,16,7009,0.6736,0.6901,0.9272,0.7917,0.7989,0.6901,0.8917,0.9712,399.4,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v3_ind_seed7001,100,5.0,32,7001,0.6786,0.651,0.9309,0.7958,0.7788,0.651,0.8959,0.9668,399.5,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7005,100,5.0,32,7005,0.6667,0.6502,0.9209,0.7842,0.7697,0.6502,0.8773,0.945,403.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,100,5.0,32,7009,0.6805,0.6843,0.9272,0.7969,0.7981,0.6843,0.8963,0.9724,410.0,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v3_ind_seed7001,100,5.0,48,7001,0.6867,0.6568,0.8517,0.7963,0.7784,0.6568,0.8924,0.9622,402.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,100,5.0,48,7005,0.6701,0.6502,0.9294,0.7903,0.7748,0.6502,0.8888,0.9553,397.5,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v3_ind_seed7009,100,5.0,48,7009,0.6908,0.6947,0.8904,0.7988,0.8057,0.6947,0.9032,0.9677,396.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,100,5.0,64,7001,0.7064,0.6751,0.8952,0.8083,0.7873,0.6751,0.8833,0.9611,394.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,100,5.0,64,7005,0.6735,0.6525,0.9294,0.7938,0.7774,0.6525,0.8911,0.9576,406.8,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v3_ind_seed7009,100,5.0,64,7009,0.7046,0.7005,0.8589,0.8049,0.8071,0.7005,0.9055,0.9677,396.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,100,5.0,80,7001,0.6925,0.659,0.8674,0.8033,0.7785,0.659,0.8844,0.96,404.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,100,5.0,80,7005,0.6724,0.6548,0.9294,0.7908,0.7762,0.6548,0.8784,0.9587,401.0,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v3_ind_seed7009,100,5.0,80,7009,0.6931,0.7039,0.9027,0.8044,0.8128,0.7039,0.9136,0.9735,407.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,100,5.0,96,7001,0.6844,0.6648,0.9309,0.8019,0.7847,0.6648,0.8924,0.9691,404.3,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7005,100,5.0,96,7005,0.6793,0.6823,0.8773,0.7935,0.7946,0.6823,0.8956,0.969,401.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,100,5.0,96,7009,0.6862,0.7085,0.8824,0.7963,0.814,0.7085,0.9067,0.9758,412.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,100,10.0,16,7001,0.6936,0.6636,0.9305,0.8076,0.7837,0.6636,0.8924,0.9668,394.5,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v3_ind_seed7005,100,10.0,16,7005,0.677,0.6491,0.929,0.7945,0.7744,0.6491,0.8911,0.9541,402.8,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v3_ind_seed7009,100,10.0,16,7009,0.6862,0.6843,0.9272,0.8015,0.7981,0.6843,0.894,0.977,403.2,Reach max iteration 50 | best_iter=16
